ID	PBMCH01	PBMCH02	PBMCH03	PBMCH04	PBMCH05	PBMCH06	PBMCH07	PBMCH08	PBMCH09	PBMCH10	PBMCH11	PBMCH12	PBMCH13	PBMCB1	PBMCB4	PBMCB5	PBMCB2	PBMCB3	PBMCB6	PBMC02	PBMC03	PBMC01	PBMC04	PBMC05	PBMC06	PBMC07	PBMC08	PBMC09	PBMC10
TRBJ1-1	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	1.21968277096176	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292
TRBJ1-2	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	4.73969046886556	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	1.10805730483559	-0.285078257097821	0.555807464615816	1.58411929576962	2.65123462223081	3.5533400070125	-1.07993243330569	3.4166965014606	3.24492658204076	-0.0500777569252682
TRBJ1-6	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	2.0004386351435	2.12931577830219	3.98437597897673	1.62914513041177	4.08261302551264	-0.996233751680349	4.00173016990274	3.3286252636661	-0.235335196628329
ANGEL1	1.05341988686064	0.632702339262228	0.812792036901576	0.268272143712697	0.112010971506807	0.507986893484223	0.49955285853498	0.643844759731379	0.180486979424336	1.41589992065108	0.262380040773111	0.254291260903717	0.257880481357047	0.787384448575991	0.323004644463539	0.487840516720891	0.775925042966196	0.557362997463016	-0.0629991897024258	-0.375966626296813	-0.247805418161605	0.0163775333102611	-1.0807701337607	-1.49261160990478	-0.745331528514105	-5.02864635541192	-0.170407243449254	-0.206112435239387	-0.43876521616272
ANGEL2	0.544906433813278	0.52208624726622	0.319541982187403	0.15177818104622	0.111881086122686	-0.336525033753581	0.203307132420738	-0.375252379977486	-0.357669715436067	1.05872055517626	0.370407741093292	-0.10686096872991	0.830949888006371	-0.128783546948341	-0.030737708460757	-0.144310560173437	-0.299785530292047	-0.287307351327613	0.032454725020834	-0.693392173159195	-0.147827003209743	-0.279953657129042	-0.439193405467131	-0.0647275535734213	0.447026494869522	-0.59637746843703	-0.154621093777624	0.0485505587299926	-0.198285875900405
CNP	1.18109226595314	0.462300960296645	0.966152941210535	1.03781542873419	0.754369482638068	-0.120240489524257	0.881227569795151	1.14104014912425	0.623831915714484	1.40703513684022	0.454457920463701	1.71011340909325	0.136852935659974	0.74426541995276	1.03431280083515	0.664087529242686	0.794505560960421	0.986242868740999	0.886693213969832	-0.119133294548191	0.213222960549689	-0.011906242186484	-7.50728448575463	0.216224792806526	-0.643400304945539	-7.50728448575463	0.37029793621205	-0.310698141345782	-0.446195754734196
ANG	2.09119857831142	1.41582218332379	0.0750015127649117	-3.12770813702427	-3.12770813702427	3.6388513782306	1.47579016999694	-3.12770813702427	1.60788859513025	0.802547964204989	2.00327246899936	0.642488812361444	1.32853769060969	1.01759760282668	1.338306828396	0.455954991209483	-1.21140461879886	1.97768037837074	-2.33966380965006	1.25049511851902	0.713041045090612	-3.12770813702427	2.12874044520328	-3.12770813702427	1.08145711542611	-3.12770813702427	-3.12770813702427	0.286255966687564	0.114096541955953
ERN1	-0.411308694611703	-0.14828559993799	-0.0396182468014565	-0.0662696283741617	-0.428050968544547	-0.491058442792292	-0.277384714300943	0.506920907928754	0.760737128576594	1.09978726670953	0.896372153486846	0.718369650413972	0.464798833374802	0.163950731262272	0.259249511406937	-0.355731009566448	-0.169338579158568	0.1283453934817	0.293478702298469	0.194224867588034	-1.20031860918618	-0.482367806101511	-0.220749051003498	-0.336393762638721	1.23241504617501	-0.179384808246947	-0.382135407580162	-0.610276775201616	-0.919978088656185
ENDOU	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	3.5427861735401	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432	-0.126528077626432
USB1	0.189142561845411	-0.21231013908854	0.476490776523756	1.3093885174857	-2.60756667116158	-2.12579293096157	0.312660412158062	1.00719463088894	0.914968563630007	1.89571785603318	0.594842597795883	0.950032061708461	0.140455505798059	0.619028279038091	0.3583978754884	0.155757432673481	0.372194324183561	0.816035890273868	0.361292706997181	1.6237104404205	0.246166983688372	0.853573066951819	0.317962422096012	-0.0105386127254832	0.0512940405754714	-6.52583339857061	-0.717427550153538	-1.65935533987079	0.2925176962779
