ID	PBMCH01	PBMCH02	PBMCH03	PBMCH04	PBMCH05	PBMCH06	PBMCH07	PBMCH08	PBMCH09	PBMCH10	PBMCH11	PBMCH12	PBMCH13	PBMCB1	PBMCB4	PBMCB5	PBMCB2	PBMCB3	PBMCB6	PBMC02	PBMC03	PBMC01	PBMC04	PBMC05	PBMC06	PBMC07	PBMC08	PBMC09	PBMC10
TRBJ1-1	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	1.21968277096176	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292	-0.04356009896292
TRBJ1-2	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	4.73969046886556	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	-1.07993243330569	1.10805730483559	-0.285078257097821	0.555807464615816	1.58411929576962	2.65123462223081	3.5533400070125	-1.07993243330569	3.4166965014606	3.24492658204076	-0.0500777569252682
TRBJ1-6	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	-0.996233751680349	2.0004386351435	2.12931577830219	3.98437597897673	1.62914513041177	4.08261302551264	-0.996233751680349	4.00173016990274	3.3286252636661	-0.235335196628329
ANGEL1	0.844669176541887	0.583792621854862	0.603040566996757	0.394435323643016	0.0968448180691848	0.571469505287673	0.411248457251565	0.729643434903631	0.168993829932129	0.906139564136692	0.230829599998671	0.221114355597415	0.133565612537236	0.618267536756878	0.619046769248049	0.606428352784093	0.689045691998622	0.486976496825466	0.114956883559195	-0.410034280785673	0.270968371513385	-0.091630302857137	-1.04406263225893	-1.30653380213064	-0.53789631985426	-5.81327703252448	0.0632563586865196	-0.111611817463652	-0.0496871402481744
ANGEL2	0.337295447609584	0.266475458529522	0.158930472369939	0.0452899083450422	-0.0652374568274556	-0.106280116092506	0.000350411349273827	-0.198841803015842	0.0153004803566219	-0.629938461981014	-0.030881426759052	-0.586983484308012	0.412769280272475	-0.258324536561728	0.000869833180287216	-0.0756110407444623	-0.0995152988892443	-0.539521516092949	0.106551689201122	-0.708381494353507	0.287413333202597	-0.039115232398812	-0.357955850235559	0.54592108620108	0.504338467619748	0.0492508390309165	0.296622664054984	0.561228409289267	0.107979937647695
CNP	1.12931212388819	0.641012637788625	0.999594549866364	1.0608048299642	0.568919771028018	-0.391574310814589	0.821114869529463	1.09244524368209	0.857159899779816	0.992522386357969	0.377941162111989	1.58439739679534	0.152338276798959	0.782000848630753	1.06295948711177	0.930773956189581	0.936669072859534	1.04043944578259	0.796710254799482	-0.133896829441746	0.17304543310995	0.0674445111313489	-7.77861830704496	0.0274027820447866	-0.738174229731438	-7.77861830704496	0.341388945109577	0.21314019852572	0.171343901191573
ANG	0.251084213284248	0.287713269005337	0.217730733607721	0.0794032709425592	-4.96782250205144	1.8463967884618	0.104046518106061	-0.818361631729577	1.12973156251384	-4.96782250205144	0.815252945792976	-0.397405879110284	1.28815593654315	0.707042618160568	0.864592555932995	-0.521501417521232	0.44557543365945	1.14952190355104	-1.85834696726949	0.706612971133054	-0.0939276717867497	0.123904771341597	1.57083838421939	0.791164424849273	0.496765864980292	1.59982998664011	-1.38187911291621	0.678874769724083	-0.147171238013114
ERN1	-0.741099536529246	-0.40100096101024	-0.394682536901266	-0.0657919193299854	-0.671989468563721	-0.862066008007837	-0.717661035679663	0.256123513924724	0.230793860205111	0.706307946241328	0.566358283325268	0.483101643115218	0.186518075496343	0.235725283468934	0.276185947877101	-0.492179340993019	-0.559292065637175	-0.0568107591009142	-0.218222918059194	0.891646304168916	-0.327211733289714	0.00147039382334135	0.0867451899803662	0.453770666423727	1.08125710005236	0.553760710480706	-0.158599955452532	-0.0636154349964979	-0.279541245032449
ENDOU	-0.864266750638534	1.89846708323486	-0.864266750638534	1.48083973075561	-0.864266750638534	-0.864266750638534	-0.864266750638534	2.80504750052799	-0.864266750638534	-0.864266750638534	-0.864266750638534	-0.864266750638534	-0.864266750638534	-0.314585530220867	-0.864266750638534	0.258348963624015	-0.864266750638534	1.04364470388329	-0.864266750638534	-0.864266750638534	0.550399176852822	-0.864266750638534	4.2625631445372	-0.864266750638534	-0.864266750638534	0.208989256017228	1.13653584402496	-0.864266750638534	2.2265516382565
USB1	-0.903233948250567	-0.249055359009254	0.336195776608354	0.989788505700146	-1.11081129809872	-0.524271398906085	-0.036505545008759	0.699123251088933	0.304037360258926	0.325022283861691	0.657583778121719	0.477687174146924	-0.625143574553451	0.321096683715911	0.290702004828008	0.147176159957623	0.456246658232265	1.01723741799445	-0.037360882242492	1.57941865594582	-0.28899304522125	0.694738675347633	-0.094780280709525	0.119885386173213	0.469681455575222	-4.04420152047281	-0.375726098438846	-0.755087634377352	0.159549357732279
